,lrtest,pttest,dptest,lrtestind,pttestind,ndecisive,nindecisive,censoring
1,93,61,0,0,0,100,0,0
2,89,53,0,0,0,100,0,0.25
3,70,34,0,0,0,99,1,0.5
4,32,19,0,5,10,59,41,0.75
