,lrtest,pttest,dptest,lrtestind,pttestind,ndecisive,nindecisive,censoring
1,7,7,8,0,0,100,0,0
2,6,3,6,0,1,97,3,0.25
3,4,4,0,2,1,83,17,0.5
4,2,3,0,0,6,35,65,0.75
